passenger-carry, t = 32, b = 0, origin = 2, dest = 0, val = 251.6986234990573
passenger-carry, t = 32, b = 0, origin = 2, dest = 1, val = 34.385916044122254
passenger-carry, t = 32, b = 0, origin = 2, dest = 2, val = 55.30350709169625
passenger-carry, t = 33, b = 0, origin = 0, dest = 0, val = 51.10167354173899
passenger-carry, t = 33, b = 0, origin = 0, dest = 1, val = 8.114160087423357
passenger-carry, t = 33, b = 0, origin = 0, dest = 2, val = 3.848202523128035
passenger-carry, t = 33, b = 0, origin = 1, dest = 0, val = 48.33277206704666
passenger-carry, t = 33, b = 0, origin = 1, dest = 1, val = 7.703616934649748
passenger-carry, t = 33, b = 0, origin = 1, dest = 2, val = 3.216090190866497
passenger-carry, t = 33, b = 0, origin = 2, dest = 0, val = 389.5194964606407
passenger-carry, t = 33, b = 0, origin = 2, dest = 1, val = 17.954865998983447
passenger-carry, t = 33, b = 0, origin = 2, dest = 2, val = 53.37249398952896
passenger-carry, t = 34, b = 0, origin = 0, dest = 0, val = 44.14088422431841
passenger-carry, t = 34, b = 0, origin = 0, dest = 1, val = 4.984268594659185
passenger-carry, t = 34, b = 0, origin = 0, dest = 2, val = 5.1342296690642275
passenger-carry, t = 34, b = 0, origin = 1, dest = 0, val = 39.42385272266476
passenger-carry, t = 34, b = 0, origin = 1, dest = 1, val = 4.899230539417111
passenger-carry, t = 34, b = 0, origin = 1, dest = 2, val = 4.745649294874964
passenger-carry, t = 34, b = 0, origin = 2, dest = 0, val = 390.8308045085686
passenger-carry, t = 34, b = 0, origin = 2, dest = 1, val = 31.79371275756978
passenger-carry, t = 34, b = 0, origin = 2, dest = 2, val = 68.10602777126387
passenger-carry, t = 35, b = 0, origin = 0, dest = 0, val = 64.75744223393673
passenger-carry, t = 35, b = 0, origin = 0, dest = 1, val = 6.90157131791187
passenger-carry, t = 35, b = 0, origin = 0, dest = 2, val = 6.901571317910314
passenger-carry, t = 35, b = 0, origin = 1, dest = 0, val = 72.24337521028338
passenger-carry, t = 35, b = 0, origin = 1, dest = 1, val = 7.397152525928458
passenger-carry, t = 35, b = 0, origin = 1, dest = 2, val = 7.472038848069056
passenger-carry, t = 35, b = 0, origin = 2, dest = 0, val = 764.0553598032249
passenger-carry, t = 35, b = 0, origin = 2, dest = 1, val = 79.69998520659564
passenger-carry, t = 35, b = 0, origin = 2, dest = 2, val = 50.00000000000147
reroute, t = 0, b = 0, origin = 0, dest = 0, val = 483.36105950637676
reroute, t = 0, b = 0, origin = 0, dest = 1, val = 179.1896522388484
reroute, t = 0, b = 0, origin = 0, dest = 2, val = 112.17714952030258
reroute, t = 0, b = 0, origin = 1, dest = 0, val = 179.18901191176013
reroute, t = 0, b = 0, origin = 1, dest = 1, val = 483.361584682132
reroute, t = 0, b = 0, origin = 1, dest = 2, val = 112.1772561789805
reroute, t = 0, b = 0, origin = 2, dest = 0, val = 59.71375031367251
reroute, t = 0, b = 0, origin = 2, dest = 1, val = 59.71377119761331
reroute, t = 0, b = 0, origin = 2, dest = 2, val = 485.7558731241172
reroute, t = 1, b = 0, origin = 0, dest = 0, val = 269.59163164149317
reroute, t = 1, b = 0, origin = 0, dest = 1, val = 129.39588526029286
reroute, t = 1, b = 0, origin = 0, dest = 2, val = 63.548263513529626
reroute, t = 1, b = 0, origin = 1, dest = 0, val = 129.39529031682554
reroute, t = 1, b = 0, origin = 1, dest = 1, val = 269.59284684604677
reroute, t = 1, b = 0, origin = 1, dest = 2, val = 63.548200606772795
reroute, t = 1, b = 0, origin = 2, dest = 0, val = 50.15385745043791
reroute, t = 1, b = 0, origin = 2, dest = 1, val = 50.15336854397846
reroute, t = 1, b = 0, origin = 2, dest = 2, val = 245.38304620240578
reroute, t = 2, b = 0, origin = 0, dest = 0, val = 236.31157180211014
reroute, t = 2, b = 0, origin = 0, dest = 1, val = 128.20195126232133
reroute, t = 2, b = 0, origin = 0, dest = 2, val = 61.22102512393024
reroute, t = 2, b = 0, origin = 1, dest = 0, val = 128.20240504720869
reroute, t = 2, b = 0, origin = 1, dest = 1, val = 236.31313199312407
reroute, t = 2, b = 0, origin = 1, dest = 2, val = 61.22084715371967
reroute, t = 2, b = 0, origin = 2, dest = 0, val = 47.37494619407033
reroute, t = 2, b = 0, origin = 2, dest = 1, val = 47.3742739006856
reroute, t = 2, b = 0, origin = 2, dest = 2, val = 152.0299026091548
reroute, t = 3, b = 0, origin = 0, dest = 0, val = 234.3351700248207
reroute, t = 3, b = 0, origin = 0, dest = 1, val = 128.4277134133401
reroute, t = 3, b = 0, origin = 0, dest = 2, val = 59.801246435704165
reroute, t = 3, b = 0, origin = 1, dest = 0, val = 128.43128169239
reroute, t = 3, b = 0, origin = 1, dest = 1, val = 234.33373682133464
