T	Origin	Destination	Payoff	Type	Pickup	Region	Rate
30	3	0	89.68221153846154	Travel	1		
30	2	2	10.96861111111111	Travel	1		
30	3	2	32.90615384615384	Travel	1		
30	2	3	37.02882352941177	Travel	1		
30	2	1	25.20108108108108	Travel	1		
30	3	3	13.853444816053512	Travel	1		
30	0	0	19.450686274509803	Travel	1		
30	0	2	65.1825352112676	Travel	1		
30	0	1	73.03306273062731	Travel	1		
30	0	3	71.42655737704919	Travel	1		
30	2	0	75.81323529411765	Travel	1		
30	1	0	83.89420168067227	Travel	1		
30	1	2	25.11481132075472	Travel	1		
30	1	1	14.70596618357488	Travel	1		
30	1	3	21.474578313253012	Travel	1		
31	3	2	32.90615384615384	Travel	1		
31	1	1	14.70596618357488	Travel	1		
31	3	0	89.68221153846154	Travel	1		
31	3	3	13.853444816053512	Travel	1		
31	0	3	71.42655737704919	Travel	1		
31	0	2	65.1825352112676	Travel	1		
31	0	1	73.03306273062731	Travel	1		
31	1	0	83.89420168067227	Travel	1		
31	1	2	25.11481132075472	Travel	1		
31	0	0	19.450686274509803	Travel	1		
31	2	3	37.02882352941177	Travel	1		
31	3	1	20.049411764705884	Travel	1		
31	1	3	21.474578313253012	Travel	1		
31	2	2	10.96861111111111	Travel	1		
31	2	0	75.81323529411765	Travel	1		
31	2	1	25.20108108108108	Travel	1		
32	3	1	19.41747663551402	Travel	1		
32	1	1	14.293348214285714	Travel	1		
32	0	3	69.12372093023257	Travel	1		
32	1	2	24.254255319148935	Travel	1		
32	1	3	21.339227642276423	Travel	1		
32	2	0	78.0265306122449	Travel	1		
32	3	0	92.23703703703704	Travel	1		
32	0	0	14.38408163265306	Travel	1		
32	0	2	66.17421052631579	Travel	1		
32	2	2	15.311525423728813	Travel	1		
32	1	0	89.54483985765124	Travel	1		
32	2	3	35.893125	Travel	1		
32	3	2	34.94714285714286	Travel	1		
32	0	1	74.19351916376307	Travel	1		
32	2	1	24.049892473118277	Travel	1		
32	3	3	10.429083665338645	Travel	1		
33	3	0	92.23703703703704	Travel	1		
33	2	3	35.893125	Travel	1		
33	2	2	15.311525423728813	Travel	1		
33	3	1	19.41747663551402	Travel	1		
33	3	2	34.94714285714286	Travel	1		
33	2	1	24.049892473118277	Travel	1		
33	0	2	66.17421052631579	Travel	1		
33	1	3	21.339227642276423	Travel	1		
33	1	2	24.254255319148935	Travel	1		
33	1	1	14.293348214285714	Travel	1		
33	1	0	89.54483985765124	Travel	1		
33	0	3	69.12372093023257	Travel	1		
33	0	1	74.19351916376307	Travel	1		
33	0	0	14.38408163265306	Travel	1		
33	2	0	78.0265306122449	Travel	1		
33	3	3	10.429083665338645	Travel	1		
34	3	3	10.429083665338645	Travel	1		
34	3	2	34.94714285714286	Travel	1		
34	3	1	19.41747663551402	Travel	1		
34	2	0	78.0265306122449	Travel	1		
34	0	3	69.12372093023257	Travel	1		
34	3	0	92.23703703703704	Travel	1		
34	1	3	21.339227642276423	Travel	1		
34	0	0	14.38408163265306	Travel	1		
34	0	1	74.19351916376307	Travel	1		
34	1	0	89.54483985765124	Travel	1		
34	1	2	24.254255319148935	Travel	1		
34	2	1	24.049892473118277	Travel	1		
34	1	1	14.293348214285714	Travel	1		
34	0	2	66.17421052631579	Travel	1		
34	2	3	35.893125	Travel	1		
34	2	2	15.311525423728813	Travel	1		
35	1	2	24.254255319148935	Travel	1		
35	3	3	10.429083665338645	Travel	1		
35	1	1	14.293348214285714	Travel	1		
35	1	3	21.339227642276423	Travel	1		
35	0	1	74.19351916376307	Travel	1		
35	2	0	78.0265306122449	Travel	1		
35	1	0	89.54483985765124	Travel	1		
35	3	2	34.94714285714286	Travel	1		
35	3	0	92.23703703703704	Travel	1		
35	0	3	69.12372093023257	Travel	1		
35	2	1	24.049892473118277	Travel	1		
35	0	2	66.17421052631579	Travel	1		
35	2	2	15.311525423728813	Travel	1		
35	3	1	19.41747663551402	Travel	1		
35	2	3	35.893125	Travel	1		
35	0	0	14.38408163265306	Travel	1		
36	0	0	17.306117647058823	Travel	1		
36	3	2	34.60704545454546	Travel	1		
36	0	3	69.20238095238095	Travel	1		
36	2	1	25.240390625	Travel	1		
36	1	1	17.195101088646968	Travel	1		
36	3	3	11.227104377104377	Travel	1		
36	3	1	20.67951851851852	Travel	1		
36	3	0	84.27012345679013	Travel	1		
36	2	3	32.29333333333333	Travel	1		
36	1	2	28.048779661016948	Travel	1		
36	2	2	15.59191919191919	Travel	1		
36	1	0	93.48719457013574	Travel	1		
36	0	2	60.81082191780821	Travel	1		
36	0	1	67.1997628458498	Travel	1		
36	2	0	80.6683606557377	Travel	1		
36	1	3	24.035440860215054	Travel	1		
37	0	1	67.1997628458498	Travel	1		
37	0	3	69.20238095238095	Travel	1		
37	0	2	60.81082191780821	Travel	1		
37	0	0	17.306117647058823	Travel	1		
37	1	0	93.48719457013574	Travel	1		
37	3	3	11.227104377104377	Travel	1		
37	1	1	17.195101088646968	Travel	1		
37	3	2	34.60704545454546	Travel	1		
37	1	3	24.035440860215054	Travel	1		
37	2	3	32.29333333333333	Travel	1		
37	2	0	80.6683606557377	Travel	1		
37	2	1	25.240390625	Travel	1		
37	1	2	28.048779661016948	Travel	1		
37	3	1	20.67951851851852	Travel	1		
37	2	2	15.59191919191919	Travel	1		
37	3	0	84.27012345679013	Travel	1		
38	3	0	84.27012345679013	Travel	1		
38	1	2	28.048779661016948	Travel	1		
38	0	3	69.20238095238095	Travel	1		
38	1	0	93.48719457013574	Travel	1		
38	1	1	17.195101088646968	Travel	1		
38	3	2	34.60704545454546	Travel	1		
38	2	0	80.6683606557377	Travel	1		
38	3	3	11.227104377104377	Travel	1		
38	3	1	20.67951851851852	Travel	1		
38	2	2	15.59191919191919	Travel	1		
38	0	1	67.1997628458498	Travel	1		
38	0	0	17.306117647058823	Travel	1		
38	1	3	24.035440860215054	Travel	1		
38	2	1	25.240390625	Travel	1		
38	2	3	32.29333333333333	Travel	1		
38	0	2	60.81082191780821	Travel	1		
39	2	1	25.240390625	Travel	1		
39	1	1	17.195101088646968	Travel	1		
39	1	3	24.035440860215054	Travel	1		
39	3	3	11.227104377104377	Travel	1		
39	0	1	67.1997628458498	Travel	1		
39	3	2	34.60704545454546	Travel	1		
39	3	1	20.67951851851852	Travel	1		
39	1	2	28.048779661016948	Travel	1		
39	0	2	60.81082191780821	Travel	1		
39	2	0	80.6683606557377	Travel	1		
39	0	0	17.306117647058823	Travel	1		
39	2	3	32.29333333333333	Travel	1		
39	3	0	84.27012345679013	Travel	1		
39	0	3	69.20238095238095	Travel	1		
39	2	2	15.59191919191919	Travel	1		
39	1	0	93.48719457013574	Travel	1		
40	0	2	56.51086206896552	Travel	1		
40	2	2	10.693492063492064	Travel	1		
40	3	1	20.133762376237623	Travel	1		
40	3	2	32.5841935483871	Travel	1		
40	3	3	9.867971014492753	Travel	1		
40	1	2	27.522846347607054	Travel	1		
40	0	1	65.48066666666666	Travel	1		
40	3	0	72.78264150943396	Travel	1		
40	2	3	31.508695652173916	Travel	1		
40	1	0	85.513375	Travel	1		
40	0	0	19.183829787234043	Travel	1		
40	2	1	25.0565445026178	Travel	1		
40	1	3	21.990583153347732	Travel	1		
40	1	1	16.78186327077748	Travel	1		
40	0	3	65.10830985915493	Travel	1		
40	2	0	71.12510204081633	Travel	1		
41	1	1	16.78186327077748	Travel	1		
41	1	0	85.513375	Travel	1		
41	1	2	27.522846347607054	Travel	1		
41	2	3	31.508695652173916	Travel	1		
41	0	3	65.10830985915493	Travel	1		
41	1	3	21.990583153347732	Travel	1		
41	0	2	56.51086206896552	Travel	1		
41	3	3	9.867971014492753	Travel	1		
41	2	0	71.12510204081633	Travel	1		
