t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
40,3.9,0.4817460317460317,0.5166666666666667,0.3416666666666667,0.08333333333333333,0.05833333333333333,3.1,1.6,2.2,0.19166666666666665,0.125,0.11666666666666665,0.16666666666666669,0.1,0.11666666666666665,0.06666666666666667,0.075,0.016666666666666666,0.025,1.3,1.1,1.0,1.3,1.9,1.0,0.6,0.5,0.5499999999999989,0.7,0.6,0.5499999999999989,4.5
41,6.4,0.528058608058608,0.6,0.2916666666666667,0.10833333333333332,0.0,3.9,3.3,0.8,0.18333333333333332,0.125,0.13333333333333333,0.16666666666666666,0.08333333333333333,0.125,0.06666666666666667,0.08333333333333333,0.016666666666666666,0.016666666666666666,1.9,2.4,2.549999999999999,1.6,1.2,1.0,1.5,0.5,0.5499999999999989,1.4,0.2,0.5499999999999989,4.5
42,4.9,0.5046231546231545,0.6166666666666667,0.35,0.008333333333333333,0.025,3.8,2.6,1.8,0.15,0.09166666666666666,0.15,0.13333333333333333,0.15,0.16666666666666666,0.06666666666666667,0.05833333333333333,0.025,0.008333333333333333,1.3,1.9,0.0,0.8,1.0,0.0,1.5,0.4,0.5499999999999989,1.3,0.5,0.0,4.5
43,5.7,0.44965007215007213,0.5583333333333333,0.35,0.075,0.016666666666666666,3.7,3.2,1.4,0.175,0.09166666666666666,0.15,0.13333333333333333,0.15,0.15,0.08333333333333333,0.041666666666666664,0.025,0.0,1.8,1.4,1.549999999999999,1.0,0.8,1.549999999999999,2.3,0.6,0.5499999999999989,0.6,0.5,0.5499999999999989,4.5
44,5.4,0.5325607725607726,0.5833333333333334,0.31666666666666665,0.075,0.025,4.3,2.2,2.1,0.15833333333333333,0.15833333333333333,0.125,0.125,0.10833333333333332,0.15833333333333333,0.08333333333333333,0.05,0.03333333333333333,0.0,1.3,0.8,1.549999999999999,1.3,1.3,1.0,1.3,0.4,0.0,1.5,0.7,0.5499999999999989,4.5
45,5.5,0.4015079365079365,0.6333333333333334,0.225,0.11666666666666665,0.025,2.6,3.3,1.8,0.15833333333333333,0.15833333333333333,0.13333333333333333,0.14166666666666666,0.125,0.08333333333333333,0.09166666666666666,0.041666666666666664,0.06666666666666667,0.0,1.4,0.8,2.099999999999998,1.2,1.1,1.549999999999999,2.0,0.6,1.0,0.9,0.5,1.0,4.5
46,5.9,0.5266955266955267,0.6833333333333333,0.21666666666666665,0.041666666666666664,0.058333333333333334,4.4,3.1,1.7,0.16666666666666666,0.13333333333333333,0.11666666666666665,0.175,0.13333333333333333,0.10833333333333332,0.075,0.025,0.05,0.016666666666666666,1.8,0.9,0.5499999999999989,1.5,1.0,1.0,1.0,0.8,1.0999999999999979,1.6,1.1,0.0,4.5
47,4.9,0.3247036297036297,0.55,0.2583333333333333,0.19166666666666665,0.0,2.6,2.9,2.5,0.18333333333333332,0.13333333333333333,0.10833333333333332,0.15833333333333333,0.13333333333333333,0.1,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.016666666666666666,1.8,0.9,2.0,1.4,1.3,2.099999999999998,0.7,0.8,2.0,1.0,0.6,1.0,4.5
48,6.0,0.4291053391053391,0.5583333333333333,0.15,0.2833333333333333,0.008333333333333333,3.7,3.5,1.7,0.14166666666666666,0.11666666666666665,0.1,0.14166666666666666,0.16666666666666669,0.11666666666666665,0.05,0.06666666666666667,0.075,0.025,1.6,0.9,2.549999999999999,1.9,2.3,3.0,1.5,1.1,2.549999999999999,1.0,0.8,1.0,4.5
49,4.4,0.5149747474747475,0.575,0.275,0.13333333333333333,0.016666666666666666,3.5,2.0,2.4,0.13333333333333333,0.125,0.10833333333333332,0.11666666666666665,0.09166666666666666,0.09166666666666666,0.08333333333333333,0.1,0.08333333333333333,0.06666666666666667,1.3,1.2,2.099999999999998,1.6,1.6,0.5499999999999989,1.0,1.3,1.549999999999999,0.5,0.9,1.0,4.5
